study_minutes,workout_minutes,entertainment_minutes,scrolling_minutes,sleep_minutes,mood,label
39,90,4,114,353,Energetic,Productive
177,0,235,133,384,Sad,Leisure
94,27,199,153,326,Tired,Leisure
62,53,145,151,408,Happy,Leisure
30,18,83,175,308,Happy,Leisure
22,80,217,9,461,Happy,Leisure
51,28,150,164,376,Happy,Leisure
12,60,177,99,336,Neutral,Leisure
112,5,68,137,362,Happy,Leisure
159,52,225,112,427,Energetic,Leisure
26,12,100,156,480,Energetic,Leisure
53,14,163,18,378,Tired,Leisure
160,77,74,15,442,Happy,Productive
95,28,184,166,456,Energetic,Leisure
140,63,228,133,368,Happy,Leisure
107,22,102,96,464,Sad,Leisure
90,87,131,180,348,Sad,Leisure
176,34,42,30,405,Neutral,Productive
116,59,154,34,461,Neutral,Leisure
129,63,82,50,459,Neutral,Productive
20,79,215,23,314,Sad,Leisure
29,14,226,152,364,Happy,Leisure
33,50,183,131,460,Happy,Leisure
8,3,168,113,334,Tired,Leisure
26,10,118,35,460,Neutral,Leisure
42,15,223,138,320,Neutral,Leisure
14,90,226,172,439,Sad,Leisure
29,74,140,50,458,Happy,Leisure
178,39,125,147,396,Happy,Leisure
2,9,67,169,452,Neutral,Leisure
64,0,96,130,379,Sad,Leisure
167,11,162,138,398,Energetic,Leisure
83,89,7,77,479,Neutral,Productive
77,82,112,164,391,Tired,Leisure
177,30,108,98,308,Energetic,Productive
2,28,49,51,471,Neutral,Leisure
30,67,148,79,305,Neutral,Leisure
125,36,184,107,317,Energetic,Leisure
48,61,154,22,382,Energetic,Leisure
23,9,233,51,454,Tired,Leisure
53,57,209,77,302,Tired,Leisure
145,35,66,58,402,Tired,Productive
170,17,154,51,380,Happy,Leisure
127,19,123,149,419,Sad,Leisure
35,60,108,170,403,Energetic,Leisure
58,90,77,106,350,Happy,Leisure
106,59,109,140,480,Happy,Leisure
45,11,43,86,341,Tired,Leisure
171,39,226,14,396,Tired,Leisure
71,28,203,11,370,Energetic,Leisure
161,83,132,175,336,Sad,Leisure
62,73,2,36,338,Happy,Productive
138,27,213,39,342,Energetic,Leisure
131,42,70,148,321,Neutral,Leisure
110,63,214,85,478,Tired,Leisure
37,19,158,137,393,Tired,Leisure
108,43,197,67,392,Happy,Leisure
75,26,88,178,347,Happy,Leisure
34,3,77,164,443,Tired,Leisure
16,47,140,173,382,Energetic,Leisure
154,52,77,0,341,Energetic,Productive
66,84,133,67,460,Tired,Leisure
101,83,15,30,353,Happy,Productive
81,40,31,12,355,Happy,Productive
7,19,226,106,403,Neutral,Leisure
45,72,8,13,440,Tired,Productive
74,45,137,76,349,Tired,Leisure
53,19,81,46,419,Neutral,Leisure
104,86,107,2,360,Sad,Productive
88,79,97,161,440,Tired,Leisure
94,16,153,33,355,Happy,Leisure
43,17,202,70,416,Neutral,Leisure
132,78,8,48,451,Sad,Productive
45,60,191,148,322,Happy,Leisure
86,34,20,172,322,Tired,Leisure
95,83,210,74,394,Happy,Leisure
21,14,26,158,341,Energetic,Leisure
90,29,12,149,355,Happy,Leisure
97,24,72,137,345,Energetic,Leisure
1,64,239,159,336,Tired,Leisure
47,28,88,54,397,Neutral,Leisure
11,86,189,75,453,Happy,Leisure
65,34,117,119,393,Neutral,Leisure
26,80,181,170,383,Neutral,Leisure
137,67,134,48,365,Sad,Productive
51,28,149,54,463,Energetic,Leisure
118,88,201,60,402,Sad,Leisure
63,76,115,115,414,Sad,Leisure
55,48,138,148,420,Happy,Leisure
87,7,228,49,345,Neutral,Leisure
138,43,155,141,439,Tired,Leisure
29,29,101,17,377,Sad,Leisure
61,46,8,92,301,Neutral,Productive
43,42,226,4,364,Sad,Leisure
141,2,24,164,347,Neutral,Leisure
162,1,113,111,399,Energetic,Leisure
15,30,239,142,348,Tired,Leisure
15,87,35,94,327,Happy,Leisure
127,68,184,134,313,Neutral,Leisure
168,88,195,56,362,Neutral,Productive
41,50,226,178,354,Energetic,Leisure
91,84,111,111,454,Tired,Leisure
110,58,139,30,366,Tired,Leisure
114,55,55,27,478,Energetic,Productive
75,58,57,12,355,Tired,Productive
110,55,7,176,378,Neutral,Leisure
66,36,185,32,309,Tired,Leisure
17,28,194,19,315,Tired,Leisure
134,11,121,46,394,Happy,Leisure
17,90,227,22,392,Happy,Leisure
109,51,135,40,310,Sad,Leisure
53,49,223,24,424,Neutral,Leisure
51,40,171,108,478,Energetic,Leisure
139,11,232,61,447,Tired,Leisure
60,44,166,144,362,Neutral,Leisure
137,61,21,36,465,Energetic,Productive
81,39,214,91,399,Energetic,Leisure
103,53,164,162,402,Energetic,Leisure
103,31,86,36,317,Tired,Productive
166,35,137,166,466,Neutral,Leisure
88,48,145,162,448,Energetic,Leisure
80,13,142,124,365,Energetic,Leisure
94,44,15,22,435,Energetic,Productive
120,49,209,102,459,Sad,Leisure
112,66,135,54,423,Happy,Leisure
71,12,148,142,403,Sad,Leisure
59,75,135,146,333,Happy,Leisure
65,32,151,95,415,Sad,Leisure
69,84,46,127,438,Happy,Leisure
47,68,84,170,440,Neutral,Leisure
35,31,135,20,394,Tired,Leisure
131,36,45,106,378,Sad,Productive
159,67,123,159,411,Happy,Leisure
132,5,53,49,382,Neutral,Productive
5,40,224,9,399,Neutral,Leisure
52,26,17,157,467,Happy,Leisure
128,12,198,147,445,Sad,Leisure
10,57,153,75,331,Sad,Leisure
176,36,162,97,410,Energetic,Leisure
29,79,94,150,396,Happy,Leisure
163,4,94,49,379,Energetic,Productive
76,78,189,37,321,Sad,Leisure
153,29,79,119,333,Energetic,Leisure
168,11,75,140,334,Happy,Leisure
106,33,142,163,475,Neutral,Leisure
64,41,95,34,441,Happy,Leisure
124,19,146,120,465,Neutral,Leisure
174,25,64,117,332,Neutral,Productive
169,37,65,122,424,Tired,Productive
110,11,137,94,436,Tired,Leisure
12,82,11,91,309,Energetic,Leisure
4,16,218,33,453,Neutral,Leisure
93,52,98,159,464,Energetic,Leisure
154,67,20,125,412,Sad,Productive
142,85,238,172,378,Tired,Leisure
10,82,62,77,365,Energetic,Leisure
115,72,152,113,427,Neutral,Leisure
64,24,175,100,411,Tired,Leisure
96,71,210,131,301,Sad,Leisure
10,4,173,45,323,Energetic,Leisure
159,12,19,159,391,Happy,Leisure
166,12,100,70,450,Happy,Productive
158,4,218,98,469,Sad,Leisure
82,75,167,16,394,Neutral,Leisure
21,45,18,27,395,Neutral,Productive
179,63,150,145,390,Tired,Leisure
29,51,7,94,370,Energetic,Leisure
146,24,103,90,408,Tired,Leisure
169,54,79,104,322,Energetic,Productive
24,23,201,86,334,Neutral,Leisure
132,31,102,39,373,Sad,Productive
138,0,191,121,304,Sad,Leisure
37,51,214,113,446,Tired,Leisure
115,42,161,180,373,Tired,Leisure
46,34,129,138,354,Tired,Leisure
98,82,116,170,380,Sad,Leisure
104,22,219,139,402,Neutral,Leisure
110,36,29,3,439,Sad,Productive
37,86,188,91,360,Neutral,Leisure
153,11,31,35,426,Happy,Productive
61,80,108,82,320,Neutral,Leisure
23,56,57,178,371,Happy,Leisure
62,88,34,31,480,Neutral,Productive
174,26,172,170,433,Tired,Leisure
151,49,93,155,469,Happy,Leisure
57,23,206,171,436,Neutral,Leisure
177,4,82,104,417,Energetic,Leisure
9,59,45,33,392,Happy,Leisure
113,69,199,15,436,Sad,Leisure
28,65,126,155,449,Happy,Leisure
122,28,130,128,402,Tired,Leisure
20,88,14,14,383,Energetic,Productive
45,23,152,169,413,Tired,Leisure
31,54,238,55,373,Energetic,Leisure
161,44,120,59,462,Tired,Productive
71,31,151,26,310,Happy,Leisure
163,24,96,49,345,Happy,Productive
137,41,72,52,335,Energetic,Productive
175,61,18,142,335,Sad,Productive
5,8,9,53,395,Energetic,Leisure
33,84,45,116,340,Tired,Leisure
8,53,121,160,456,Happy,Leisure
152,4,43,177,434,Happy,Leisure
115,0,185,61,322,Energetic,Leisure
136,15,27,21,454,Neutral,Productive
95,81,9,35,430,Neutral,Productive
72,25,114,168,461,Sad,Leisure
73,75,212,75,340,Sad,Leisure
97,44,163,167,452,Happy,Leisure
138,19,52,91,429,Energetic,Productive
58,46,173,160,413,Tired,Leisure
78,83,218,45,456,Energetic,Leisure
2,49,72,18,471,Sad,Leisure
130,86,55,94,422,Tired,Productive
42,62,28,104,423,Neutral,Leisure
82,55,31,102,453,Energetic,Productive
133,43,204,16,337,Sad,Leisure
131,16,21,8,438,Sad,Productive
27,18,159,127,310,Energetic,Leisure
66,9,180,38,334,Sad,Leisure
48,79,50,97,334,Energetic,Leisure
62,21,16,142,448,Tired,Leisure
14,75,107,16,406,Neutral,Leisure
160,20,233,144,380,Happy,Leisure
48,13,121,65,406,Happy,Leisure
38,54,164,37,443,Tired,Leisure
40,63,234,24,340,Happy,Leisure
133,28,164,36,458,Energetic,Leisure
132,66,79,4,462,Neutral,Productive
165,18,78,107,345,Energetic,Leisure
157,85,216,2,400,Energetic,Productive
136,66,205,90,401,Sad,Leisure
31,21,120,178,450,Tired,Leisure
106,42,222,30,429,Neutral,Leisure
51,11,46,178,390,Energetic,Leisure
60,71,155,106,318,Neutral,Leisure
121,67,110,37,446,Energetic,Productive
134,53,196,33,401,Happy,Leisure
58,70,79,138,382,Tired,Leisure
164,26,88,87,365,Tired,Productive
15,48,52,107,388,Sad,Leisure
59,29,197,101,312,Happy,Leisure
17,19,73,125,432,Neutral,Leisure
116,27,150,143,310,Energetic,Leisure
39,71,29,52,320,Energetic,Productive
133,85,231,2,338,Neutral,Leisure
37,60,111,170,419,Energetic,Leisure
40,15,132,38,443,Neutral,Leisure
76,90,153,68,439,Happy,Leisure
82,34,17,159,476,Tired,Leisure
67,89,104,40,390,Tired,Productive
165,58,195,26,405,Neutral,Productive
176,31,233,34,394,Energetic,Leisure
140,56,116,141,354,Tired,Leisure
4,83,116,67,446,Sad,Leisure
143,17,22,126,384,Energetic,Productive
96,75,232,87,305,Neutral,Leisure
63,36,118,111,389,Sad,Leisure
16,30,91,28,380,Energetic,Leisure
86,67,48,106,424,Energetic,Leisure
172,79,160,94,380,Tired,Leisure
