study_minutes,workout_minutes,entertainment_minutes,scrolling_minutes,sleep_minutes,mood,label
34,1,178,172,385,Tired,Leisure
4,5,95,143,392,Neutral,Leisure
9,80,178,173,344,Sad,Leisure
29,10,36,175,397,Tired,Leisure
35,9,17,125,315,Happy,Leisure
153,63,106,13,436,Happy,Productive
36,2,50,2,335,Neutral,Leisure
94,60,40,64,348,Energetic,Productive
111,52,34,121,452,Tired,Productive
20,29,45,95,324,Sad,Leisure
156,76,33,133,357,Energetic,Productive
166,48,39,5,432,Neutral,Productive
169,7,184,168,331,Neutral,Leisure
105,79,222,80,459,Energetic,Leisure
175,22,171,152,437,Energetic,Leisure
43,75,105,43,429,Tired,Leisure
69,71,114,65,372,Happy,Leisure
99,73,220,145,402,Happy,Leisure
164,86,19,14,321,Sad,Productive
14,89,167,101,434,Happy,Leisure
66,90,7,98,429,Happy,Productive
90,58,194,144,413,Happy,Leisure
119,57,106,23,476,Happy,Productive
80,54,46,120,334,Happy,Leisure
101,75,226,82,393,Energetic,Leisure
167,66,162,100,425,Neutral,Leisure
18,14,186,77,429,Tired,Leisure
41,34,118,12,423,Energetic,Leisure
50,45,189,114,315,Sad,Leisure
158,14,186,139,374,Tired,Leisure
117,3,166,26,425,Tired,Leisure
34,9,158,103,361,Energetic,Leisure
80,82,35,145,350,Tired,Leisure
82,11,99,108,436,Happy,Leisure
109,32,143,77,427,Happy,Leisure
131,3,93,42,428,Tired,Leisure
95,81,21,113,304,Tired,Productive
20,16,37,40,459,Energetic,Leisure
161,12,210,167,462,Tired,Leisure
93,20,23,3,425,Happy,Productive
84,36,222,19,318,Sad,Leisure
154,54,107,141,303,Happy,Leisure
45,20,10,44,414,Neutral,Productive
72,70,184,171,350,Tired,Leisure
36,3,236,115,398,Energetic,Leisure
2,70,171,145,370,Neutral,Leisure
88,74,207,15,412,Neutral,Leisure
45,20,139,130,339,Neutral,Leisure
130,50,209,57,355,Happy,Leisure
24,80,124,78,366,Energetic,Leisure
20,77,119,167,415,Tired,Leisure
105,46,145,177,330,Tired,Leisure
174,24,155,39,462,Happy,Productive
93,20,237,15,340,Sad,Leisure
117,53,172,19,338,Energetic,Leisure
41,74,119,169,323,Tired,Leisure
89,29,57,78,473,Neutral,Leisure
59,32,154,65,438,Tired,Leisure
170,27,116,113,451,Sad,Leisure
82,49,25,14,377,Tired,Productive
91,36,63,38,343,Energetic,Productive
56,61,235,95,302,Happy,Leisure
146,18,222,98,376,Happy,Leisure
150,76,152,65,301,Energetic,Productive
5,27,58,144,430,Energetic,Leisure
118,25,231,115,343,Neutral,Leisure
94,56,57,169,432,Happy,Leisure
57,41,70,97,394,Happy,Leisure
137,12,172,140,322,Tired,Leisure
71,37,167,152,401,Neutral,Leisure
168,74,42,161,429,Neutral,Productive
163,90,94,20,342,Sad,Productive
109,75,81,110,355,Sad,Leisure
161,70,87,123,358,Neutral,Productive
85,73,17,135,375,Happy,Productive
10,28,200,98,395,Tired,Leisure
115,48,50,93,313,Happy,Productive
106,42,22,16,313,Tired,Productive
160,19,97,24,367,Tired,Productive
81,75,54,81,422,Neutral,Productive
40,24,110,124,466,Neutral,Leisure
32,27,132,114,476,Tired,Leisure
44,82,160,72,407,Happy,Leisure
93,30,212,122,444,Tired,Leisure
69,58,224,18,427,Happy,Leisure
1,84,65,154,304,Tired,Leisure
175,15,164,121,430,Tired,Leisure
100,88,112,172,334,Energetic,Leisure
178,44,143,101,454,Neutral,Leisure
40,10,125,125,320,Sad,Leisure
131,86,160,25,344,Sad,Productive
141,28,214,103,444,Energetic,Leisure
148,81,190,102,450,Sad,Leisure
123,51,81,10,353,Sad,Productive
100,26,34,19,480,Happy,Productive
121,30,231,102,341,Sad,Leisure
150,12,141,106,440,Energetic,Leisure
27,76,42,11,425,Happy,Productive
14,42,76,130,390,Tired,Leisure
179,74,196,141,372,Sad,Leisure
146,44,18,108,389,Happy,Productive
131,83,155,32,315,Sad,Productive
110,7,152,17,441,Tired,Leisure
140,90,131,165,304,Sad,Leisure
2,62,73,4,363,Tired,Leisure
141,51,78,26,364,Sad,Productive
21,55,52,76,334,Happy,Leisure
109,65,186,124,333,Happy,Leisure
5,20,149,166,335,Neutral,Leisure
11,17,146,24,418,Neutral,Leisure
32,81,44,73,344,Energetic,Leisure
147,3,51,167,424,Neutral,Leisure
61,11,34,21,338,Sad,Productive
82,46,92,54,342,Neutral,Leisure
20,85,218,175,345,Tired,Leisure
43,7,135,64,314,Sad,Leisure
81,90,207,104,371,Neutral,Leisure
151,58,62,88,315,Happy,Productive
159,75,10,91,378,Sad,Productive
107,43,157,141,390,Sad,Leisure
44,69,162,133,419,Tired,Leisure
117,51,196,159,400,Happy,Leisure
47,19,158,42,326,Tired,Leisure
82,57,32,108,400,Energetic,Leisure
52,66,226,86,450,Energetic,Leisure
131,80,40,154,316,Neutral,Productive
10,75,61,103,410,Energetic,Leisure
54,76,43,157,395,Energetic,Leisure
153,65,2,146,447,Energetic,Productive
129,66,234,95,396,Happy,Leisure
155,53,52,37,414,Energetic,Productive
51,39,14,38,304,Tired,Productive
170,4,150,124,410,Neutral,Leisure
100,21,47,157,335,Energetic,Leisure
65,24,235,101,349,Sad,Leisure
156,37,18,66,407,Tired,Productive
44,4,8,115,339,Sad,Leisure
89,71,213,27,316,Neutral,Leisure
138,56,58,108,466,Happy,Productive
20,1,58,180,329,Sad,Leisure
62,49,102,156,364,Happy,Leisure
3,4,196,30,473,Neutral,Leisure
175,10,170,103,446,Sad,Leisure
60,73,17,163,456,Neutral,Leisure
91,36,19,142,352,Tired,Leisure
169,85,129,28,336,Neutral,Productive
176,62,132,111,461,Tired,Leisure
30,39,165,104,411,Sad,Leisure
108,50,204,160,413,Energetic,Leisure
127,23,11,128,388,Energetic,Productive
125,45,163,90,432,Happy,Leisure
27,6,107,140,315,Tired,Leisure
32,81,234,97,475,Sad,Leisure
15,7,81,119,459,Happy,Leisure
87,69,43,154,400,Sad,Leisure
43,48,121,50,375,Sad,Leisure
152,19,115,83,456,Neutral,Leisure
78,40,192,43,326,Neutral,Leisure
76,21,71,116,452,Energetic,Leisure
29,7,170,105,354,Energetic,Leisure
87,1,147,35,317,Energetic,Leisure
15,75,41,87,369,Neutral,Leisure
88,0,99,27,438,Tired,Leisure
140,88,217,87,334,Energetic,Leisure
8,84,95,164,301,Neutral,Leisure
132,84,43,15,415,Happy,Productive
87,53,168,69,409,Sad,Leisure
84,4,82,34,453,Neutral,Leisure
40,88,44,18,470,Happy,Productive
164,48,148,71,396,Sad,Leisure
120,3,95,110,378,Happy,Leisure
99,45,182,20,419,Neutral,Leisure
0,52,210,102,360,Neutral,Leisure
90,85,79,161,425,Tired,Leisure
83,63,64,163,477,Sad,Leisure
70,74,26,10,303,Happy,Productive
133,40,197,128,457,Happy,Leisure
108,37,150,180,348,Sad,Leisure
141,7,156,59,343,Neutral,Leisure
51,15,94,4,368,Tired,Leisure
38,36,151,158,388,Tired,Leisure
118,27,30,68,307,Tired,Productive
138,37,69,69,445,Neutral,Productive
95,79,45,94,330,Energetic,Productive
126,27,64,47,323,Sad,Productive
8,48,81,177,424,Tired,Leisure
91,58,138,157,379,Happy,Leisure
79,29,83,148,333,Sad,Leisure
167,32,24,6,403,Neutral,Productive
152,27,48,39,445,Neutral,Productive
159,23,181,172,430,Neutral,Leisure
66,89,139,152,425,Happy,Leisure
1,10,211,123,402,Tired,Leisure
4,83,103,96,444,Energetic,Leisure
72,63,176,71,319,Tired,Leisure
64,89,53,61,300,Sad,Productive
112,87,178,28,398,Tired,Leisure
159,20,46,65,360,Sad,Productive
176,90,103,24,456,Sad,Productive
52,74,167,138,465,Tired,Leisure
175,50,24,64,428,Happy,Productive
178,34,109,48,474,Happy,Productive
28,80,110,77,412,Sad,Leisure
70,77,208,155,480,Energetic,Leisure
168,84,211,51,472,Sad,Leisure
56,44,146,31,432,Happy,Leisure
98,43,98,152,465,Sad,Leisure
6,2,63,42,480,Tired,Leisure
89,36,102,73,383,Sad,Leisure
61,34,234,82,459,Sad,Leisure
26,17,84,88,425,Energetic,Leisure
64,59,56,138,432,Tired,Leisure
123,58,179,134,378,Happy,Leisure
139,25,103,162,432,Energetic,Leisure
160,58,34,166,309,Neutral,Productive
51,88,95,139,304,Sad,Leisure
23,58,105,86,303,Sad,Leisure
5,5,200,31,436,Tired,Leisure
80,50,132,75,453,Sad,Leisure
12,48,198,30,386,Happy,Leisure
141,76,146,173,401,Tired,Leisure
176,58,138,154,351,Tired,Leisure
15,31,75,108,321,Tired,Leisure
23,8,15,45,365,Sad,Leisure
106,9,57,44,300,Neutral,Productive
12,54,61,75,381,Energetic,Leisure
52,15,98,37,425,Neutral,Leisure
124,87,128,166,375,Tired,Leisure
111,8,205,83,439,Happy,Leisure
118,44,49,68,354,Happy,Productive
23,51,202,46,376,Happy,Leisure
53,15,191,98,401,Happy,Leisure
143,20,193,174,427,Sad,Leisure
22,72,77,40,366,Sad,Leisure
33,7,197,178,389,Happy,Leisure
57,26,22,51,311,Happy,Productive
2,30,211,82,398,Happy,Leisure
60,39,147,32,447,Sad,Leisure
135,1,3,21,477,Neutral,Productive
137,49,77,46,475,Energetic,Productive
57,22,179,7,407,Energetic,Leisure
86,37,204,66,330,Tired,Leisure
52,84,207,33,369,Sad,Leisure
139,41,124,178,382,Energetic,Leisure
176,35,13,149,346,Happy,Productive
100,6,175,84,402,Energetic,Leisure
64,64,105,55,368,Tired,Leisure
72,48,97,122,385,Tired,Leisure
3,7,112,124,405,Energetic,Leisure
124,17,18,32,331,Energetic,Productive
108,67,195,2,467,Happy,Leisure
22,18,43,35,434,Neutral,Leisure
179,71,116,140,390,Neutral,Leisure
70,76,111,109,444,Happy,Leisure
176,74,193,50,441,Neutral,Productive
57,35,217,26,462,Neutral,Leisure
58,82,95,25,407,Tired,Productive
10,49,27,132,479,Sad,Leisure
68,34,175,78,346,Sad,Leisure
0,74,239,131,323,Happy,Leisure
88,41,205,24,361,Neutral,Leisure
162,12,6,74,410,Energetic,Productive
19,42,128,36,461,Neutral,Leisure
146,37,213,18,480,Energetic,Leisure
51,74,225,90,318,Energetic,Leisure
82,72,233,34,440,Tired,Leisure
14,9,79,136,381,Tired,Leisure
47,56,54,126,471,Energetic,Leisure
46,6,113,142,313,Happy,Leisure
39,79,118,23,313,Energetic,Leisure
87,20,134,76,444,Energetic,Leisure
79,24,173,48,440,Tired,Leisure
3,7,52,177,338,Neutral,Leisure
0,87,131,59,387,Neutral,Leisure
175,75,55,57,380,Sad,Productive
41,36,193,45,436,Sad,Leisure
166,17,227,54,480,Energetic,Leisure
139,50,83,38,440,Energetic,Productive
39,56,100,132,474,Sad,Leisure
129,81,153,55,315,Neutral,Productive
75,15,169,178,301,Sad,Leisure
150,59,74,130,332,Tired,Productive
168,65,111,74,423,Happy,Productive
38,67,32,28,477,Happy,Productive
109,64,117,163,458,Tired,Leisure
166,32,94,31,398,Tired,Productive
95,33,28,123,455,Sad,Leisure
113,5,43,44,360,Neutral,Productive
21,11,29,169,438,Energetic,Leisure
141,54,92,180,397,Tired,Leisure
147,48,3,16,473,Happy,Productive
95,84,144,106,317,Happy,Leisure
158,12,92,4,314,Energetic,Productive
127,19,139,116,444,Happy,Leisure
37,52,75,49,333,Energetic,Leisure
163,73,140,143,443,Sad,Leisure
89,84,233,94,440,Happy,Leisure
81,59,21,118,359,Energetic,Productive
173,8,176,172,378,Tired,Leisure
151,75,156,36,361,Neutral,Productive
66,61,193,136,470,Energetic,Leisure
153,65,13,123,349,Happy,Productive
88,46,153,146,421,Tired,Leisure
156,63,177,118,456,Neutral,Leisure
44,75,171,81,332,Happy,Leisure
149,4,7,88,374,Tired,Productive
156,23,189,34,412,Happy,Leisure
41,15,225,120,381,Neutral,Leisure
135,78,135,127,359,Tired,Leisure
26,80,48,95,471,Energetic,Leisure
20,76,215,167,302,Happy,Leisure
137,25,153,177,377,Happy,Leisure
70,17,40,158,452,Energetic,Leisure
144,88,9,43,305,Neutral,Productive
56,33,99,4,437,Tired,Leisure
34,8,85,174,394,Neutral,Leisure
25,34,198,27,308,Neutral,Leisure
13,64,96,130,336,Neutral,Leisure
12,13,13,166,341,Tired,Leisure
15,48,22,82,316,Neutral,Leisure
156,6,206,21,448,Tired,Leisure
109,40,65,83,335,Happy,Productive
114,77,175,82,457,Energetic,Leisure
33,70,160,161,313,Tired,Leisure
145,8,78,145,325,Happy,Leisure
130,55,73,110,331,Sad,Productive
178,27,76,118,334,Tired,Productive
16,7,7,78,339,Tired,Leisure
158,68,75,150,361,Energetic,Productive
114,22,229,78,425,Tired,Leisure
151,5,6,67,390,Neutral,Productive
62,80,23,132,432,Tired,Leisure
170,72,195,33,429,Tired,Productive
2,37,81,151,354,Tired,Leisure
62,50,204,33,408,Happy,Leisure
0,49,91,70,460,Tired,Leisure
95,8,107,163,354,Tired,Leisure
136,30,127,4,431,Sad,Productive
86,2,69,113,429,Tired,Leisure
58,13,194,80,466,Happy,Leisure
68,68,100,85,389,Happy,Leisure
68,62,151,150,426,Happy,Leisure
74,21,62,172,422,Energetic,Leisure
157,32,72,44,368,Happy,Productive
83,58,123,8,318,Sad,Productive
124,12,87,119,332,Sad,Leisure
163,73,101,125,428,Happy,Productive
24,83,229,146,434,Tired,Leisure
161,43,19,40,377,Happy,Productive
56,3,0,77,418,Neutral,Leisure
22,46,112,125,332,Neutral,Leisure
19,6,108,106,363,Happy,Leisure
95,22,191,145,366,Tired,Leisure
57,0,50,59,417,Neutral,Leisure
76,5,0,49,415,Tired,Productive
156,47,228,41,305,Happy,Leisure
120,83,133,118,354,Sad,Leisure
18,63,26,160,448,Tired,Leisure
46,63,102,145,377,Energetic,Leisure
21,3,40,138,340,Sad,Leisure
27,37,154,88,316,Energetic,Leisure
1,36,172,72,336,Energetic,Leisure
1,68,81,150,303,Happy,Leisure
168,32,129,119,403,Energetic,Leisure
109,64,161,122,373,Neutral,Leisure
99,75,110,58,457,Energetic,Productive
137,45,20,88,323,Neutral,Productive
68,46,134,78,376,Neutral,Leisure
11,73,64,90,303,Energetic,Leisure
82,52,223,15,376,Neutral,Leisure
107,62,166,62,476,Happy,Leisure
112,73,24,120,329,Neutral,Productive
103,32,16,177,385,Sad,Leisure
79,42,212,22,332,Neutral,Leisure
14,7,224,62,437,Sad,Leisure
4,7,106,110,414,Tired,Leisure
25,72,153,156,394,Tired,Leisure
78,81,218,158,343,Neutral,Leisure
135,61,224,130,377,Energetic,Leisure
139,16,140,20,432,Sad,Leisure
156,31,73,4,364,Tired,Productive
143,22,176,96,343,Energetic,Leisure
60,70,160,17,389,Happy,Leisure
79,77,5,153,363,Tired,Leisure
57,13,25,12,314,Energetic,Productive
91,14,64,23,314,Energetic,Productive
37,68,197,152,304,Happy,Leisure
100,72,118,88,468,Happy,Leisure
170,16,211,169,369,Tired,Leisure
155,1,59,132,329,Happy,Leisure
159,58,186,23,468,Energetic,Productive
130,61,105,69,445,Tired,Productive
56,78,159,92,474,Happy,Leisure
12,46,38,65,322,Neutral,Leisure
93,22,34,43,415,Tired,Productive
65,36,11,87,425,Tired,Productive
132,66,109,70,317,Tired,Productive
51,62,190,147,353,Tired,Leisure
41,24,94,117,455,Happy,Leisure
130,71,82,125,450,Happy,Leisure
17,26,237,19,419,Neutral,Leisure
69,42,183,162,371,Tired,Leisure
160,89,138,126,462,Tired,Leisure
170,66,54,38,461,Sad,Productive
151,20,214,113,385,Neutral,Leisure
85,57,52,141,360,Neutral,Leisure
66,46,58,49,446,Energetic,Productive
53,37,98,178,434,Energetic,Leisure
5,48,158,1,410,Neutral,Leisure
16,79,26,97,353,Neutral,Leisure
155,84,107,138,382,Tired,Leisure
52,28,152,88,462,Energetic,Leisure
116,2,184,149,318,Neutral,Leisure
118,9,117,139,328,Happy,Leisure
150,43,223,104,409,Neutral,Leisure
126,75,127,150,323,Happy,Leisure
4,25,179,12,471,Energetic,Leisure
92,35,179,59,429,Sad,Leisure
51,50,223,15,463,Sad,Leisure
142,39,121,61,467,Neutral,Leisure
54,54,189,3,477,Happy,Leisure
178,5,217,31,422,Tired,Leisure
36,82,134,57,452,Energetic,Leisure
118,48,75,1,407,Energetic,Productive
9,43,35,146,405,Tired,Leisure
63,7,81,131,394,Happy,Leisure
56,15,15,133,375,Tired,Leisure
162,56,103,116,390,Energetic,Leisure
135,23,181,126,314,Tired,Leisure
136,13,147,32,372,Sad,Leisure
17,21,107,13,480,Sad,Leisure
69,8,126,87,417,Tired,Leisure
37,70,64,145,397,Tired,Leisure
40,68,175,78,402,Neutral,Leisure
80,8,117,150,341,Happy,Leisure
57,89,119,8,408,Tired,Productive
45,88,110,27,442,Energetic,Leisure
77,74,169,110,372,Energetic,Leisure
126,61,182,128,342,Neutral,Leisure
63,87,120,62,311,Sad,Leisure
146,42,120,128,323,Happy,Leisure
62,7,236,107,433,Tired,Leisure
31,75,89,73,399,Energetic,Leisure
60,33,45,102,325,Neutral,Leisure
124,22,167,76,350,Sad,Leisure
84,19,228,15,406,Sad,Leisure
86,25,204,9,351,Tired,Leisure
103,7,186,154,429,Tired,Leisure
28,13,109,87,415,Neutral,Leisure
17,0,72,115,434,Neutral,Leisure
149,48,159,13,416,Sad,Productive
30,27,79,144,465,Sad,Leisure
119,20,93,77,451,Sad,Leisure
6,75,215,160,312,Sad,Leisure
84,56,16,153,322,Sad,Leisure
174,78,216,165,447,Happy,Leisure
155,72,43,112,405,Tired,Productive
165,9,45,76,460,Happy,Productive
140,82,30,152,301,Tired,Productive
128,26,145,157,424,Sad,Leisure
1,78,50,1,413,Happy,Productive
179,22,214,175,321,Neutral,Leisure
136,6,238,127,370,Sad,Leisure
108,52,161,136,467,Neutral,Leisure
33,86,221,67,387,Tired,Leisure
70,89,185,133,378,Energetic,Leisure
133,3,185,21,419,Tired,Leisure
48,2,169,20,322,Tired,Leisure
30,24,93,60,396,Happy,Leisure
128,87,176,149,409,Tired,Leisure
115,84,93,29,317,Happy,Productive
22,49,140,29,330,Sad,Leisure
113,67,75,41,402,Tired,Productive
68,69,194,118,361,Sad,Leisure
128,49,82,12,417,Sad,Productive
138,6,101,165,441,Neutral,Leisure
45,1,179,178,335,Tired,Leisure
120,62,166,91,386,Energetic,Leisure
124,35,35,70,300,Sad,Productive
83,73,164,28,389,Energetic,Leisure
114,4,206,157,301,Neutral,Leisure
72,18,45,21,330,Neutral,Productive
108,1,76,23,468,Happy,Productive
3,81,102,168,314,Happy,Leisure
148,31,226,113,443,Energetic,Leisure
124,70,133,43,409,Energetic,Productive
100,76,33,139,423,Happy,Productive
107,32,138,10,355,Neutral,Leisure
152,60,135,104,320,Happy,Leisure
85,48,10,39,446,Neutral,Productive
66,59,135,44,428,Sad,Leisure
55,70,188,1,468,Neutral,Leisure
114,45,98,25,343,Sad,Productive
151,13,67,41,346,Energetic,Productive
15,67,110,169,315,Tired,Leisure
158,55,38,102,317,Neutral,Productive
5,60,235,12,454,Neutral,Leisure
89,56,82,5,394,Tired,Productive
12,37,209,61,371,Sad,Leisure
97,32,65,145,332,Sad,Leisure
112,40,0,49,422,Energetic,Productive
45,51,89,99,426,Neutral,Leisure
149,77,165,118,327,Tired,Leisure
116,19,218,27,476,Energetic,Leisure
172,23,51,88,441,Happy,Productive
21,10,152,17,426,Neutral,Leisure
10,7,30,122,470,Tired,Leisure
141,77,123,71,479,Neutral,Productive
125,20,161,8,445,Happy,Leisure
97,28,110,15,418,Sad,Leisure
163,70,190,49,438,Tired,Leisure
72,48,212,36,459,Happy,Leisure
143,63,164,147,315,Energetic,Leisure
44,35,13,51,344,Sad,Productive
108,7,23,95,393,Tired,Leisure
108,74,188,158,391,Sad,Leisure
72,31,31,90,304,Neutral,Leisure
36,4,158,57,357,Energetic,Leisure
30,78,46,67,321,Tired,Leisure
72,11,223,106,365,Happy,Leisure
145,28,61,41,410,Happy,Productive
137,55,111,79,315,Energetic,Productive
95,25,215,119,346,Sad,Leisure
71,0,236,65,309,Energetic,Leisure
162,56,98,144,433,Energetic,Leisure
131,71,237,90,326,Sad,Leisure
87,7,222,119,444,Happy,Leisure
10,46,14,141,421,Energetic,Leisure
84,24,201,160,359,Happy,Leisure
121,28,218,59,410,Happy,Leisure
20,14,122,150,479,Sad,Leisure
25,41,127,4,460,Sad,Leisure
54,25,54,137,399,Neutral,Leisure
30,14,187,62,430,Tired,Leisure
147,90,61,15,419,Sad,Productive
28,77,102,121,413,Sad,Leisure
171,46,93,78,479,Energetic,Productive
151,70,55,109,457,Energetic,Productive
77,36,55,121,423,Happy,Leisure
36,85,77,132,399,Neutral,Leisure
62,74,4,150,305,Energetic,Leisure
102,78,103,26,393,Sad,Productive
131,14,10,169,471,Tired,Leisure
23,27,1,65,303,Neutral,Leisure
162,47,167,80,399,Tired,Leisure
6,75,145,107,479,Neutral,Leisure
52,0,20,4,322,Neutral,Productive
66,88,70,125,437,Neutral,Leisure
109,16,98,84,391,Neutral,Leisure
108,61,181,91,329,Tired,Leisure
37,86,106,160,453,Tired,Leisure
98,53,33,131,448,Sad,Leisure
152,55,116,36,388,Tired,Productive
103,2,232,32,437,Sad,Leisure
69,85,209,30,312,Energetic,Leisure
142,18,23,106,341,Tired,Productive
171,86,128,65,471,Sad,Productive
144,60,134,124,441,Sad,Leisure
63,60,180,164,355,Tired,Leisure
176,75,67,72,334,Sad,Productive
145,45,83,58,412,Happy,Productive
11,7,46,17,423,Energetic,Leisure
140,83,40,50,434,Energetic,Productive
144,40,139,178,419,Sad,Leisure
53,88,78,19,334,Tired,Productive
24,5,149,96,410,Tired,Leisure
161,0,26,48,393,Neutral,Productive
139,58,52,8,432,Happy,Productive
88,4,133,4,449,Energetic,Leisure
73,26,102,168,332,Happy,Leisure
134,34,239,147,358,Sad,Leisure
103,0,36,37,461,Tired,Productive
131,1,150,52,457,Happy,Leisure
172,75,72,159,413,Tired,Productive
55,69,204,96,347,Happy,Leisure
18,64,26,17,392,Happy,Productive
126,88,47,113,301,Tired,Productive
30,25,191,175,393,Tired,Leisure
169,2,48,146,379,Sad,Leisure
11,78,158,66,307,Tired,Leisure
96,3,240,103,370,Happy,Leisure
34,42,23,72,373,Energetic,Leisure
140,87,216,83,473,Tired,Leisure
74,48,71,144,459,Sad,Leisure
91,60,72,107,360,Happy,Leisure
86,29,158,64,437,Neutral,Leisure
76,81,45,49,408,Sad,Productive
73,21,136,17,438,Tired,Leisure
99,87,195,55,391,Energetic,Leisure
19,19,47,162,428,Happy,Leisure
67,0,153,111,402,Energetic,Leisure
121,61,231,65,339,Happy,Leisure
119,3,152,160,434,Energetic,Leisure
93,11,90,135,322,Tired,Leisure
92,42,161,93,419,Happy,Leisure
44,40,142,102,466,Tired,Leisure
47,78,158,80,337,Sad,Leisure
48,11,137,62,387,Happy,Leisure
89,78,215,174,392,Sad,Leisure
63,88,201,136,316,Energetic,Leisure
153,45,61,73,360,Tired,Productive
160,70,56,34,312,Energetic,Productive
172,33,57,122,419,Tired,Productive
32,25,194,12,315,Tired,Leisure
179,55,217,38,322,Neutral,Leisure
56,17,21,137,412,Neutral,Leisure
142,36,59,92,415,Sad,Productive
177,54,38,64,309,Happy,Productive
53,69,174,164,461,Happy,Leisure
115,25,210,15,346,Sad,Leisure
